id;cidade;area;quartos;banheiro;vagas;andar;animal;mobiliado;condominio;aluguel;taxas;seguro;total;alugado;relacao
90;2;45;1;1;0;14;0;0;285;500;0;7;792;0;140
91;5;35;1;1;0;0;0;0;0;750;34;12;796;1;210
92;4;25;1;1;0;2;1;0;250;540;0;7;797;0;151
93;2;30;1;1;0;15;1;0;280;500;10;7;797;0;140
94;3;35;1;1;0;1;1;0;230;550;9;9;798;0;154
95;5;20;1;1;0;0;0;0;0;790;0;11;801;1;221
96;3;45;1;1;1;1;0;0;30;760;0;12;802;1;213
97;5;45;1;1;0;2;0;0;160;620;15;8;803;1;174
98;5;25;1;1;0;2;0;0;160;620;15;8;803;1;174
99;3;53;1;1;0;2;1;0;277;500;20;8;805;0;140
100;5;40;1;1;0;0;0;0;0;780;17;12;809;1;218
101;5;40;1;1;0;0;0;0;0;780;17;12;809;1;218
102;5;40;1;1;0;0;0;0;0;780;17;12;809;1;218
103;5;40;1;1;0;0;0;0;0;780;17;12;809;1;218
104;5;40;1;1;0;0;0;0;0;780;17;12;809;1;218
105;5;40;1;1;0;0;0;0;0;780;17;12;809;1;218
106;5;40;1;1;0;0;0;0;0;780;17;12;809;1;218
107;3;48;2;1;0;1;1;0;100;700;0;11;811;1;196
108;5;50;1;1;0;0;0;0;0;800;0;13;813;1;224
109;5;60;1;1;0;0;1;0;0;800;0;13;813;1;224
110;2;45;1;1;0;1;1;0;0;770;34;10;814;1;216
111;2;45;1;1;0;1;1;0;0;770;34;10;814;1;216
112;1;100;2;1;0;0;1;0;0;777;25;13;815;1;218
113;2;36;1;1;0;4;0;0;300;500;10;7;817;0;140
114;1;30;1;1;0;3;0;0;0;750;57;10;817;1;210
115;5;30;1;1;0;0;1;0;0;750;59;12;821;1;210
116;1;50;2;1;0;0;0;0;0;750;59;13;822;1;210
117;5;50;1;1;0;0;1;0;0;800;18;13;831;1;224
118;3;40;1;1;0;1;1;1;0;816;0;15;831;1;228
119;5;35;1;1;0;0;0;0;0;780;40;12;832;1;218
120;4;35;1;1;0;3;1;0;0;791;30;11;832;1;221
121;3;60;1;1;1;1;1;0;316;500;10;8;834;0;140
122;3;44;1;1;0;4;1;1;270;550;6;9;835;0;154
123;5;50;1;1;0;1;1;0;50;750;25;10;835;1;210
124;5;25;1;1;0;1;0;0;0;800;25;11;836;1;224
125;5;40;1;1;0;0;0;0;30;780;17;12;839;1;218
126;5;50;1;1;0;0;1;0;0;820;8;13;841;1;230
127;5;50;1;1;0;0;0;0;0;830;0;13;843;1;232
128;2;53;2;1;1;1;1;0;310;510;16;7;843;0;143
129;2;60;2;1;1;0;0;0;0;830;0;13;843;1;232
130;5;50;1;1;0;0;0;0;0;800;34;13;847;1;224
131;5;27;1;1;0;0;0;0;0;835;0;13;848;1;234
132;5;27;1;1;0;0;0;0;0;836;0;13;849;1;234
133;5;25;1;1;0;0;0;0;0;836;0;13;849;1;234
134;3;52;1;1;0;0;1;0;90;748;1;11;850;1;209
135;3;80;2;1;1;1;1;0;0;833;4;13;850;1;233
136;2;50;1;1;0;8;1;0;300;550;0;3;853;0;154
137;3;80;1;1;0;0;1;0;0;800;40;15;855;1;224
138;2;30;1;1;0;4;1;0;336;503;10;7;856;0;141
139;5;50;1;1;0;0;1;0;0;810;34;13;857;1;227
140;5;40;1;1;0;0;0;0;0;850;0;11;861;1;238
141;4;19;1;1;0;3;1;0;310;500;45;7;862;0;140
142;3;40;1;1;1;4;1;0;200;650;5;10;865;0;182
143;1;55;2;1;1;4;1;0;190;600;67;8;865;0;168
144;5;16;1;1;0;1;0;0;0;850;9;11;870;1;238
145;3;30;1;1;0;5;1;0;300;545;17;8;870;0;153
146;5;16;1;1;0;1;0;0;0;850;9;11;870;1;238
147;3;37;1;1;0;2;1;0;220;628;13;10;871;0;176
148;5;50;1;1;0;0;0;0;0;800;59;13;872;1;224
149;1;30;1;1;1;2;0;1;0;860;0;12;872;1;241
150;1;40;1;1;1;1;0;0;0;860;0;12;872;1;241
151;3;31;1;1;0;4;1;0;250;586;28;9;873;0;164
152;3;39;1;1;0;3;1;0;290;550;24;9;873;0;154
153;5;30;1;1;0;0;0;0;0;861;0;13;874;1;241
154;3;38;1;1;1;3;1;0;360;500;6;8;874;0;140
155;2;53;2;1;1;1;1;0;0;800;65;11;876;1;224
156;2;30;1;1;0;5;1;0;280;580;12;8;880;0;162
157;5;50;1;1;0;2;0;0;150;720;0;10;880;1;202
158;5;16;1;1;0;1;0;0;0;870;0;12;882;1;244
159;5;24;1;1;0;0;0;0;0;870;0;14;884;1;244
160;5;22;1;1;0;0;0;0;0;870;0;14;884;1;244
161;5;24;1;1;0;0;1;0;0;870;0;14;884;1;244
162;1;26;1;1;1;1;1;0;60;750;67;10;887;1;210
163;1;26;1;1;1;1;1;0;60;750;67;10;887;1;210
164;3;42;2;1;0;0;1;0;0;860;13;16;889;1;241
165;1;50;2;1;0;0;0;0;0;850;25;14;889;1;238
166;3;42;2;1;0;0;1;0;0;858;15;16;889;1;240
167;5;55;1;1;0;1;0;0;150;730;0;10;890;1;204
168;5;16;1;1;0;1;0;0;0;850;30;11;891;1;238
169;5;16;1;1;0;1;0;0;0;850;30;11;891;1;238
170;1;50;2;1;0;0;1;0;0;850;30;12;892;1;238
171;1;45;2;1;1;1;1;0;0;880;0;12;892;1;246
172;5;16;1;1;0;1;0;0;0;850;35;11;896;1;238
173;2;30;1;1;0;5;0;1;380;500;10;7;897;0;140
174;5;25;1;1;0;1;0;0;0;885;0;12;897;1;248
175;5;40;1;1;0;0;1;0;0;850;34;13;897;1;238
176;3;40;1;1;0;0;1;0;390;500;0;8;898;0;140
177;5;120;1;2;0;0;1;0;0;761;129;10;900;1;213
178;3;50;1;1;0;3;1;0;270;600;23;9;902;0;168
179;2;33;1;1;0;11;0;0;290;600;10;8;908;0;168
180;4;60;2;1;1;8;1;0;355;500;47;7;909;0;140
181;1;66;2;1;1;1;1;0;380;500;23;7;910;0;140
182;1;55;1;1;0;0;1;0;0;895;0;15;910;1;251
183;5;45;1;1;0;2;0;0;150;750;0;10;910;1;210
184;3;50;2;1;0;0;1;0;100;700;100;11;911;1;196
185;5;50;1;1;0;0;0;0;0;880;17;14;911;1;246
186;1;55;2;1;0;2;0;0;0;850;50;12;912;1;238
187;4;18;1;1;0;1;0;0;0;900;0;12;912;1;252
188;2;32;1;1;0;9;0;0;300;600;4;8;912;0;168
189;5;45;1;1;0;0;1;0;0;900;0;14;914;1;252
190;5;50;1;1;0;0;0;0;0;900;0;14;914;1;252
191;5;70;1;1;0;0;0;0;0;900;0;14;914;1;252
192;1;40;1;1;0;0;0;0;0;900;0;15;915;1;252
193;3;25;1;1;0;3;1;0;100;790;13;12;915;1;221
194;5;35;1;1;0;1;1;0;0;874;30;12;916;1;245
195;1;50;2;1;1;4;1;0;145;700;62;10;917;1;196
196;2;44;1;1;0;7;1;0;350;550;12;7;919;0;154
197;5;55;1;1;0;1;0;0;140;770;0;10;920;1;216
198;1;52;2;1;1;4;0;0;180;730;0;10;920;1;204
199;5;16;1;1;0;1;0;0;0;850;59;11;920;1;238
200;3;39;1;1;0;2;1;1;120;780;8;12;920;1;218
201;4;15;1;1;0;4;0;0;0;908;0;12;920;1;254
202;5;36;1;1;0;1;1;0;0;860;50;11;921;1;241
203;5;16;1;1;0;1;0;0;0;910;0;12;922;1;255
204;5;26;1;1;0;0;0;0;0;900;10;12;922;1;252
205;3;45;1;1;1;4;1;0;300;595;21;9;925;0;167
206;5;35;1;1;0;0;1;0;0;900;11;14;925;1;252
207;2;53;1;1;0;6;1;0;403;500;15;7;925;0;140
208;2;38;1;1;0;8;1;0;300;550;70;7;927;0;154
209;1;43;2;1;1;2;1;0;199;620;100;9;928;0;174
210;3;28;1;1;0;4;1;0;350;550;21;9;930;0;154
211;1;65;2;1;1;2;1;0;220;700;0;10;930;0;196
212;5;30;1;1;0;0;0;0;0;850;67;13;930;1;238
213;5;30;1;1;0;0;0;0;0;850;67;13;930;1;238
214;1;55;2;1;1;3;1;0;170;750;0;10;930;1;210
215;2;26;1;1;0;2;1;0;410;500;13;7;930;0;140
216;2;44;2;1;0;2;1;0;272;650;0;9;931;0;182
217;5;40;1;1;0;0;0;1;0;860;59;13;932;1;241
218;5;40;1;1;0;0;1;0;0;920;0;14;934;1;258
219;5;50;1;1;1;0;0;0;0;900;21;14;935;1;252
220;2;67;2;1;0;0;1;0;0;880;41;14;935;1;246
221;1;68;2;1;1;11;1;0;400;500;30;7;937;0;140
222;1;42;2;1;1;4;1;0;175;690;63;10;938;1;193
223;2;58;2;1;1;2;1;0;280;650;0;9;939;0;182
224;5;40;1;1;0;0;0;0;0;900;25;14;939;1;252
225;1;45;1;1;0;0;0;0;75;800;50;14;939;1;224
226;3;30;1;1;0;3;0;0;250;650;30;10;940;0;182
227;2;40;1;1;0;8;0;0;327;595;12;8;942;0;167
228;5;40;1;1;0;0;0;0;0;880;48;14;942;1;246
229;3;35;1;1;0;1;1;0;100;815;17;12;944;1;228
230;2;55;2;1;1;2;1;0;235;700;0;9;944;0;196
231;2;40;1;1;0;4;1;0;420;500;17;7;944;0;140
232;5;20;1;1;0;3;0;1;300;600;40;8;948;0;168
233;5;20;1;1;0;3;0;1;300;600;40;8;948;0;168
234;3;48;1;1;0;4;1;0;200;700;38;11;949;0;196
235;3;40;1;1;0;2;1;0;230;700;9;11;950;0;196
236;2;47;1;1;0;1;1;1;380;550;14;7;951;0;154
237;2;60;2;1;0;0;0;0;0;800;138;13;951;1;224
238;2;44;1;1;0;7;1;0;260;670;12;9;951;0;188
239;3;37;1;1;0;3;1;0;270;650;23;10;953;0;182
240;3;37;1;1;0;1;1;0;270;650;23;10;953;0;182
241;5;63;1;1;1;3;1;0;298;650;0;9;957;0;182
242;5;34;1;1;0;0;0;0;0;900;46;14;960;1;252
243;2;60;2;1;1;3;1;0;0;900;48;12;960;1;252
244;3;39;1;1;0;11;1;0;340;600;13;9;962;0;168
245;2;47;1;1;0;8;1;0;423;520;13;7;963;0;146
246;5;50;1;2;0;0;1;0;0;900;50;14;964;1;252
247;5;35;1;1;0;1;0;0;0;900;50;14;964;1;252
248;5;50;2;1;0;0;0;0;0;900;50;14;964;1;252
249;5;50;1;1;0;1;1;0;0;950;0;15;965;1;266
250;5;100;1;1;0;0;0;0;0;950;0;15;965;1;266
251;5;45;1;1;0;0;0;0;0;950;0;15;965;1;266
252;3;80;2;1;0;0;1;0;0;950;0;17;967;1;266
253;1;70;1;1;0;0;1;0;0;800;153;14;967;1;224
254;2;44;1;1;0;4;1;0;417;520;23;7;967;0;146
255;2;50;1;1;0;4;1;0;418;520;23;7;968;0;146
256;1;54;2;1;1;1;1;0;100;800;58;11;969;1;224
257;1;66;2;1;1;13;1;0;385;550;26;8;969;0;154
258;2;46;1;1;0;2;1;0;450;500;14;7;971;0;140
259;1;50;2;1;1;10;1;0;160;800;0;11;971;1;224
260;1;50;2;1;1;10;1;0;160;800;0;11;971;1;224
261;5;50;1;1;1;0;1;0;0;900;59;14;973;1;252
262;3;27;1;1;0;9;1;0;200;750;13;11;974;1;210
263;3;40;1;1;0;1;1;0;328;500;140;8;976;0;140
264;2;50;1;1;0;7;1;0;305;650;13;9;977;0;182
265;3;28;1;1;0;4;1;0;150;800;15;12;977;1;224
266;5;30;1;1;0;1;0;0;350;550;70;7;977;0;154
267;2;48;2;1;0;2;1;0;250;700;18;9;977;0;196
268;3;56;2;1;0;4;1;0;300;637;32;10;979;0;178
269;1;30;1;1;1;1;0;0;50;900;19;12;981;1;252
270;5;45;1;1;0;0;0;0;0;950;17;15;982;1;266
271;1;40;1;1;1;2;0;1;0;970;0;13;983;1;272
272;1;40;1;1;1;2;0;1;0;970;0;13;983;1;272
273;3;40;2;1;1;4;0;0;270;702;0;11;983;0;197
274;3;52;2;1;1;1;0;0;205;750;18;11;984;1;210
275;3;47;1;1;1;10;1;0;360;610;6;9;985;0;171
276;3;30;1;1;0;4;1;0;360;600;17;9;986;0;168
277;1;50;2;1;1;2;1;0;226;750;0;10;986;0;210
278;3;30;1;1;0;4;1;0;198;755;22;12;987;1;211
279;5;40;1;1;1;0;0;0;0;972;0;15;987;1;272
280;1;32;1;1;1;1;1;0;60;850;67;12;989;1;238
281;3;40;1;1;0;5;1;0;320;650;9;10;989;0;182
282;5;37;1;1;0;0;0;0;0;900;75;14;989;1;252
283;3;38;1;1;0;1;1;0;280;690;9;11;990;0;193
284;5;22;1;1;0;0;0;0;0;976;0;15;991;1;273
285;5;22;1;1;0;0;0;0;0;976;0;15;991;1;273
286;5;22;1;1;0;0;1;0;0;976;0;15;991;1;273
287;5;50;1;1;0;1;0;0;150;830;0;11;991;1;232
288;5;40;1;1;0;0;1;0;0;900;80;12;992;1;252
289;5;40;1;1;0;1;0;0;0;980;0;13;993;1;274
290;5;16;1;1;0;1;0;0;0;980;0;13;993;1;274
291;3;40;1;1;1;0;1;0;0;960;15;18;993;1;269
292;3;55;1;1;0;1;1;0;250;700;32;11;993;0;196
293;5;45;1;1;0;1;0;0;0;950;30;15;995;1;266
294;5;33;2;1;0;0;0;0;0;980;0;15;995;1;274
295;5;60;1;1;0;0;0;0;0;980;0;15;995;1;274
296;1;51;2;1;1;2;1;0;260;700;27;10;997;0;196
297;4;40;1;1;0;3;1;0;262;725;0;10;997;0;203
298;2;55;1;1;0;5;1;0;473;500;17;7;997;0;140
299;1;250;2;2;1;0;1;0;15;900;67;15;997;1;252
300;3;45;1;1;1;1;1;0;240;740;7;11;998;0;207
301;2;60;2;1;1;4;1;0;395;580;15;8;998;0;162
302;2;55;1;1;0;1;1;0;260;716;12;10;998;0;200
303;5;45;1;1;0;0;0;0;0;928;57;14;999;1;260
304;3;68;2;1;0;3;1;0;270;700;19;11;1000;0;196
305;2;35;1;1;0;8;1;0;480;500;14;7;1001;0;140
306;3;60;2;1;1;0;0;0;0;950;34;17;1001;1;266
307;3;60;1;1;0;2;1;0;200;750;42;11;1003;1;210
308;2;23;1;1;0;0;0;1;0;990;0;13;1003;1;277
309;1;70;3;1;1;3;1;0;90;900;1;12;1003;1;252
310;5;20;1;1;0;0;0;0;0;990;0;13;1003;1;277
311;5;70;1;1;0;0;1;0;0;930;60;14;1004;1;260
312;3;80;1;1;0;0;1;0;0;971;15;18;1004;1;272
313;2;50;1;1;0;0;1;0;0;940;50;15;1005;1;263
314;3;58;2;1;1;0;1;0;170;800;24;12;1006;1;224
315;5;67;1;1;1;1;0;0;0;1000;0;6;1006;1;280
316;2;43;1;1;0;5;0;0;323;660;14;9;1006;0;185
317;3;80;2;1;0;0;1;0;0;990;0;18;1008;1;277
318;2;45;1;1;0;4;1;0;290;700;10;9;1009;0;196
319;2;36;1;1;0;5;1;0;290;700;10;9;1009;0;196
320;4;50;1;1;0;1;1;1;250;750;0;10;1010;0;210
321;5;35;1;1;0;3;0;0;150;850;0;11;1011;1;238
322;2;50;2;1;1;1;1;0;0;800;200;11;1011;1;224
323;1;50;2;1;0;5;1;0;0;900;100;12;1012;1;252
324;3;22;1;1;0;6;1;0;180;800;20;12;1012;1;224
325;5;30;1;1;0;0;0;0;0;1000;0;13;1013;1;280
326;2;82;2;1;1;1;1;0;300;600;105;8;1013;0;168
327;2;50;2;1;1;3;1;0;0;1000;0;13;1013;1;280
328;4;30;1;1;0;20;0;0;0;1000;0;13;1013;1;280
329;5;12;1;1;0;0;0;0;0;950;50;13;1013;1;266
330;3;46;2;1;1;0;1;0;236;750;16;11;1013;0;210
331;4;15;1;1;0;2;0;0;0;1000;0;13;1013;1;280
332;2;49;2;1;1;0;1;0;0;1000;0;13;1013;1;280
333;2;48;1;1;0;4;0;0;490;500;17;7;1014;0;140
334;3;32;1;1;0;0;1;1;230;750;23;11;1014;0;210
335;2;56;1;1;0;3;0;0;428;560;17;9;1014;0;157
336;5;45;2;1;0;2;1;0;60;900;42;12;1014;1;252
337;1;45;2;1;1;3;1;0;0;1000;0;14;1014;1;280
338;1;20;1;1;1;1;0;0;0;1000;0;14;1014;1;280
339;1;45;2;1;1;5;0;0;227;750;28;10;1015;0;210
340;3;45;2;1;0;1;1;0;0;1000;0;15;1015;1;280
341;1;50;2;1;0;0;0;0;0;950;50;16;1016;1;266
342;2;35;1;1;1;0;0;1;0;1000;0;16;1016;1;280
343;5;50;1;1;0;0;0;0;0;1000;0;16;1016;1;280
344;5;30;1;1;0;0;0;0;0;1000;0;16;1016;1;280
345;3;27;1;1;0;6;0;0;300;694;13;11;1018;0;194
346;3;36;1;1;1;4;1;0;350;650;9;10;1019;0;182
347;5;35;1;1;1;1;1;0;0;977;30;13;1020;1;274
348;5;35;1;1;1;1;1;0;0;977;30;13;1020;1;274
349;2;62;2;1;0;1;1;0;280;709;22;9;1020;0;199
350;4;20;1;1;0;5;1;0;450;500;63;7;1020;0;140
351;3;49;1;1;0;7;1;0;310;680;21;10;1021;0;190
352;5;60;1;1;1;3;1;0;252;750;9;10;1021;0;210
353;2;54;1;2;0;1;1;0;245;720;46;10;1021;0;202
354;2;54;1;2;0;1;1;0;245;720;46;10;1021;0;202
355;5;38;1;1;0;1;0;0;60;950;0;13;1023;1;266
356;5;38;1;1;0;2;0;0;60;950;0;13;1023;1;266
357;5;38;1;1;0;1;0;0;60;950;0;13;1023;1;266
358;2;42;2;1;1;3;0;0;400;600;15;8;1023;0;168
359;5;40;1;1;0;0;1;0;1;1000;6;16;1023;1;280
360;3;25;1;1;0;12;0;0;240;750;22;11;1023;0;210
361;5;38;1;1;0;1;0;0;60;950;0;13;1023;1;266
362;5;20;1;1;0;1;0;0;0;1000;10;13;1023;1;280
363;4;30;1;1;0;3;1;0;314;700;0;10;1024;0;196
364;5;40;1;1;0;0;0;0;0;1010;0;16;1026;1;283
365;3;46;2;1;0;1;1;0;177;807;30;12;1026;1;226
366;5;23;1;1;0;2;0;0;30;950;34;13;1027;1;266
367;3;80;2;1;0;1;1;0;0;950;65;14;1029;1;266
368;2;48;1;1;0;9;1;0;350;650;21;9;1030;0;182
369;3;40;1;1;0;10;1;0;200;800;19;12;1031;1;224
370;2;49;1;1;0;3;1;0;417;583;23;8;1031;0;163
371;1;68;3;1;2;3;1;0;170;850;0;12;1032;1;238
372;3;48;1;1;0;4;1;0;250;750;21;11;1032;0;210
373;5;30;1;1;0;0;1;0;0;1000;21;13;1034;1;280
374;2;55;1;1;0;4;1;0;490;500;37;7;1034;0;140
375;4;75;2;1;1;6;0;0;379;580;69;8;1036;0;162
376;1;57;2;1;1;3;0;0;225;800;0;11;1036;0;224
377;2;45;1;1;0;7;0;0;506;500;24;7;1037;0;140
378;3;45;1;1;0;6;1;0;350;650;28;10;1038;0;182
379;1;68;2;2;2;3;1;0;168;800;59;11;1038;1;224
380;3;36;1;1;0;6;0;0;375;630;24;10;1039;0;176
381;3;20;1;1;1;0;1;1;0;950;75;14;1039;1;266
382;2;37;1;1;1;2;1;0;478;555;0;8;1041;0;155
383;1;150;3;1;1;4;1;0;250;780;0;11;1041;0;218
384;1;55;2;1;1;1;0;0;180;850;0;12;1042;1;238
385;1;63;2;1;1;4;0;0;130;900;0;12;1042;1;252
386;3;50;2;1;1;0;1;0;0;1000;25;18;1043;1;280
387;4;16;1;1;0;2;1;0;450;555;30;8;1043;0;155
388;3;50;2;1;1;0;1;0;0;1000;25;18;1043;1;280
389;3;50;2;1;1;0;1;0;0;1000;25;18;1043;1;280
390;2;50;1;1;0;2;1;0;473;550;14;7;1044;0;154
391;3;40;1;1;0;2;0;0;210;796;26;12;1044;1;223
392;3;52;1;1;0;10;1;0;130;900;0;14;1044;1;252
393;3;56;1;1;0;2;1;0;300;700;34;11;1045;0;196
394;1;76;2;1;1;1;1;0;277;700;59;10;1046;0;196
395;3;46;1;1;1;1;1;1;270;750;15;11;1046;0;210
396;5;45;1;1;0;0;0;0;0;1030;0;16;1046;1;288
397;1;70;2;1;0;0;0;0;0;1030;0;17;1047;1;288
398;2;42;2;1;1;3;1;0;190;846;0;11;1047;1;237
399;5;40;1;1;0;0;0;0;0;970;63;15;1048;1;272
400;3;48;1;1;0;2;1;0;309;700;28;11;1048;0;196
401;3;58;1;1;0;2;1;0;309;700;28;11;1048;0;196
402;2;48;1;1;1;1;0;0;450;550;42;7;1049;0;154
403;5;60;1;1;0;0;1;0;0;1000;34;16;1050;1;280
404;5;45;1;1;0;0;0;0;0;1000;34;16;1050;1;280
405;3;55;2;1;0;3;1;0;350;650;42;10;1052;0;182
406;1;55;3;1;1;3;0;0;199;800;42;11;1052;1;224
407;1;68;2;1;0;0;1;0;35;1000;0;17;1052;1;280
408;1;44;2;1;0;4;0;0;145;895;0;12;1052;1;251
409;1;90;2;1;0;1;1;0;0;1000;39;14;1053;1;280
410;3;50;2;1;1;0;0;0;0;1000;35;18;1053;1;280
411;5;31;2;1;0;2;1;0;0;1040;0;14;1054;1;291
412;3;46;1;1;1;2;1;0;380;650;16;10;1056;0;182
413;3;72;2;1;0;3;0;0;100;900;42;14;1056;1;252
414;5;70;2;1;0;0;1;0;0;999;42;16;1057;1;280
415;1;55;1;1;0;0;0;0;0;1020;21;17;1058;1;286
416;1;55;1;1;0;0;0;0;0;1020;21;17;1058;1;286
417;3;70;1;1;0;3;0;0;150;850;46;13;1059;1;238
418;3;40;1;1;0;20;1;0;135;890;21;13;1059;1;249
419;3;28;1;1;0;2;1;0;184;850;12;13;1059;1;238
420;3;120;3;2;1;2;1;0;0;1020;25;15;1060;1;286
421;1;65;2;2;0;0;0;0;200;800;50;11;1061;1;224
422;4;50;1;1;0;1;1;0;250;800;0;11;1061;0;224
423;3;50;1;1;1;7;1;0;250;800;0;12;1062;0;224
424;5;48;2;1;1;4;1;0;150;900;0;12;1062;1;252
425;1;50;2;1;1;4;1;0;150;900;0;12;1062;1;252
426;5;35;1;1;1;1;1;0;0;1020;30;13;1063;1;286
427;4;30;1;1;0;12;1;0;0;1000;50;13;1063;1;280
428;4;65;2;1;0;0;1;0;0;1000;47;16;1063;1;280
